"Tahun","IHK"
"31/01/2020","103.78"
"29/02/2020","104.16"
"31/03/2020","104"
"30/04/2020","103.71"
"31/05/2020","103.86"
"30/06/2020","104.04"
"31/07/2020","104.41"
"31/08/2020","104.24"
"30/09/2020","103.89"
"31/10/2020","103.67"
"30/11/2020","104.04"
"31/12/2020","104.29"
"31/01/2021","104.54"
"28/02/2021","104.65"
"31/03/2021","104.9"
"30/04/2021","105.17"
"31/05/2021","105.41"
"30/06/2021","105.7"
"31/07/2021","105.69"
"31/08/2021","105.48"
"30/09/2021","105.61"
"31/10/2021","105.64"
"30/11/2021","105.74"
"31/12/2021","106.43"
"31/01/2022","107.4"
"28/02/2022","107.18"
"31/03/2022","107.61"
"30/04/2022","108.74"
"31/05/2022","109.44"
"30/06/2022","109.9"
"31/07/2022","110.47"
"31/08/2022","110.25"
"30/09/2022","111.17"
"31/10/2022","111.42"
"30/11/2022","111.7"
"31/12/2022","111.99"
"31/01/2023","112.48"
"28/02/2023","112.44"
"31/03/2023","113.02"
"30/04/2023","113.53"
"31/05/2023","113.65"
"30/06/2023","113.93"
"31/07/2023","114.32"
"31/08/2023","114.44"
"30/09/2023","114.66"
"31/10/2023","114.94"
"30/11/2023","115.29"
"31/12/2023","115.76"
